حقير	0	0	0	0	0	NEG	NEG
مثقف	0	0	0	0	0	NEG	POS
دماغها	64	166	1006	-0.130695535636	-0.081393847848	NEG	Neutral
سيء	597	816	5525	-0.107181216563	-0.110948872215	POS	NEG
ودود	220	22	300	0.0556048044094	-0.16403301369	POS	POS
مركز	1072	1194	9712	-0.109905204812	-0.13539155391	POS	POS
زانيه	26	79	335	-0.110422560889	-0.0501057519828	NEG	NEG
بن المتناكه	0	6	2	0	0.0629466279421	NEG	NEG
مسليه	40	45	332	-0.0736808145108	-0.0909518616665	POS	POS
عبد الروس	0	2	0	0	0.0776258246902	NEG	NEG
صحي	542	611	4504	-0.0944908196175	-0.116742462569	POS	POS
كان عظيم	0	0	0	0	0	NEG	POS
صدامي	19	25	118	-0.0534285372116	-0.0576894307645	POS	NEG
بحبها	0	0	0	0	0	NEG	POS
بهتم بيه	2	0	18	-0.0560579924877	0	NEG	POS
جميل	0	0	0	0	0	NEG	POS
cool	1	2	5488	-0.458458133744	-0.454231312512	NEG	POS
ابن الحيوان	2	9	27	-0.0991732624956	-0.0212773500979	NEG	NEG
غلابه	53	144	705	-0.117682546597	-0.0640126772688	NEG	POS
داهيه	273	808	2791	-0.118749173152	-0.046294954409	NEG	NEG
حاقد	0	0	0	0	0	NEG	NEG
جدعه	134	48	634	-0.0316900656701	-0.143276239162	POS	POS
تتكلميش	0	3	39	0	-0.102437676369	POS	Neutral
بن اﻷحبة	0	1	0	0	0.0741723032127	NEG	NEG
كتكوت	98	133	931	-0.0913930739887	-0.0946646226052	POS	POS
قادر	0	0	0	0	0	NEG	POS
ممحونه	104	2398	1765	-0.205402940454	0.0742956562601	NEG	NEG
اصلا واضح	0	0	0	0	0	NEG	Neutral
عادل	0	0	0	0	0	NEG	POS
وطني	0	0	0	0	0	NEG	POS
عادي	4095	6650	31343	-0.118683082909	-0.101735924973	NEG	Neutral
المخانيث	7	12	31	-0.0365302198379	-0.02073332388	NEG	NEG
كبري قصر النيل	0	0	0	0	0	NEG	Neutral
مباريات	812	545	7381	-0.102232403557	-0.17447898045	POS	Neutral
معرص	0	0	0	0	0	NEG	NEG
كان محترم	17	11	115	-0.0519012048921	-0.106912472014	POS	POS
مسالم	0	0	0	0	0	NEG	POS
حاجته نضيفه	0	0	0	0	0	NEG	POS
حريمه	23	53	244	-0.093596804737	-0.055334290885	NEG	Neutral
استغلالي	0	0	0	0	0	NEG	NEG
واطي	0	0	0	0	0	NEG	NEG
ذوق	0	0	0	0	0	NEG	POS
سميع الدعاء	14	11	118	-0.0661256729159	-0.106912472014	POS	POS
طيبة جداا	0	0	1	0	0	NEG	POS
تكفيخي	8	2	13	0.0305171742543	-0.0864340246799	POS	NEG
انيقه	246	80	1066	-0.0263144647406	-0.151888993682	POS	POS
ضعيفه	199	422	2339	-0.119725233032	-0.0830963284508	NEG	NEG
ابن المتناكه	7	80	104	-0.13483110569	0.0254832998158	NEG	NEG
جبار	0	0	0	0	0	NEG	POS
كتوم	354	72	1944	-0.0446199578449	-0.206872923428	POS	POS
متململ	0	4	25	0	-0.0581516316029	POS	NEG
غالي علي	0	0	0	0	0	NEG	POS
وشها جامد	0	0	1	0	0	NEG	POS
طيب	0	0	0	0	0	NEG	POS
فتوكه	1	0	7	-0.0392416420508	0	NEG	Neutral
أعمى القلب والنظر	0	0	0	0	0	NEG	NEG
ابن موزه	0	8	5	0	0.0496348721908	NEG	NEG
مفتريه	0	0	0	0	0	NEG	NEG
اتبهدل	0	0	0	0	0	NEG	NEG
ابن الوسخه	45	248	448	-0.11324536231	0.00606340231685	NEG	NEG
طعس تفووووو عليك	0	1	0	0	0.0741723032127	NEG	NEG
كلب	0	0	0	0	0	NEG	NEG
متحجر	21	54	252	-0.101900889468	-0.0556777752251	NEG	NEG
باع	0	0	0	0	0	NEG	NEG
